index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Hint: pretend you are answering a question for a quiz."," You would not write down the entire question. You would just write down the answer. So, write down the answer to this question.",answer.,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Hint: pretend you are answering a question for a quiz."," You would not write a long explanation. You would just write the answer. So, write the answer to the question.",answer.,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Hint: pretend you are answering a question for a quiz.", Write down the steps you would take to solve the problem.,,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Hint: pretend you are answering a question for a quiz.", You have to write down the answer and explain how you got it.,,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Hint: pretend you are answering a question for a quiz.", You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise. You have to write down the answer in a way that is clear and concise.,concise.,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Hint: pretend you are answering a question for a quiz."," You have to write down the answer. You can't just say ""I don't know"" or ""I don't understand the question"". You have to write down an answer. So, pretend you are answering a question for a quiz. You have to write down the answer. You can't just say ""I don't know"" or ""I don't understand the question"". You have to write down an answer.","question"".",48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Hint: pretend you are answering a question for a quiz.", You would not write a long story about the aquarium. You would just write the answer.,aquarium.,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Hint: pretend you are answering a question for a quiz.",  You have to show your work.  You have to show how you got your answer.  You have to show that you understand the problem.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to show that you understand the question.  You have to show that you understand the answer.  You have to,,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Hint: pretend you are answering a question for a quiz.", You are given the information and you have to answer the question. You are not given the answer. You have to figure it out.,answer.,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Hint: pretend you are answering a question for a quiz.", What information do you need to solve the problem? What information is given? What is the question asking you to find? What is the question asking you to find?,find?,8,0.0
